Crop,N_percent,P_mg_per_kg,K_cmol_per_kg,pH,Temp_C,Rainfall_mm,Yield_t_per_ha
Yam,0.05,7.1,0.46,5.4,26.4,510,13.1
Yam,0.07,8.9,0.54,5.8,27.7,570,14.7
Tomato,0.07,8.8,0.44,5.6,27.5,510,5.1
Tomato,0.08,9.2,0.46,5.7,27.9,520,5.3
Tomato,0.06,7.5,0.42,5.5,27,500,4.7
Tomato,0.05,7,0.4,5.4,26.5,490,4.3
Tomato,0.07,8.4,0.43,5.6,27.4,510,5
Tomato,0.06,7.3,0.41,5.5,27.1,500,4.8
Tomato,0.08,9.5,0.47,5.8,28.1,530,5.4
Tomato,0.04,6.6,0.38,5.3,26,480,4.1
Tomato,0.05,6.9,0.39,5.4,26.3,490,4.5
Tomato,0.07,8.7,0.45,5.7,27.6,515,5.2
Pepper,0.07,8.3,0.43,5.6,27.2,495,4.8
Pepper,0.08,8.9,0.45,5.7,27.6,505,5.1
Pepper,0.06,7.4,0.4,5.5,26.8,485,4.5
Pepper,0.05,6.9,0.38,5.4,26.2,470,4.1
Pepper,0.07,8,0.42,5.6,27.1,490,4.7
Pepper,0.06,7.1,0.39,5.5,26.9,480,4.4
Pepper,0.08,9.2,0.46,5.8,27.9,510,5.2
Pepper,0.04,6.5,0.36,5.3,25.8,460,3.9
Pepper,0.05,6.8,0.37,5.4,26,470,4.2
Pepper,0.07,8.2,0.44,5.6,27.3,500,4.9
Maize,0.08,8.3,0.47,5.7,26.7,600,3.7
Maize,0.07,7.9,0.45,5.6,26.4,580,3.45
Maize,0.06,7.2,0.42,5.5,26,560,3.1
Maize,0.05,6.7,0.39,5.4,25.6,540,2.9
Maize,0.07,8.1,0.46,5.6,26.6,595,3.6
Maize,0.06,7,0.41,5.5,26.2,555,3.05
Maize,0.09,8.8,0.5,5.8,27,620,3.85
Maize,0.04,6.4,0.37,5.2,25,520,2.75
Maize,0.05,7,0.39,5.3,25.4,530,2.95
Maize,0.08,8.5,0.48,5.7,26.9,605,3.75
Rice,0.08,10,0.55,5.7,27,620,4.8
Rice,0.07,9.5,0.53,5.6,26.7,600,4.55
Rice,0.06,8.8,0.5,5.5,26.3,580,4.2
Rice,0.05,8.3,0.47,5.4,26,560,3.95
Rice,0.07,9.8,0.54,5.6,26.9,610,4.7
Rice,0.06,8.7,0.49,5.5,26.4,570,4.15
Rice,0.09,10.5,0.57,5.8,27.2,630,4.9
Rice,0.04,8,0.45,5.3,25.5,540,3.8
Rice,0.05,8.4,0.48,5.4,25.8,550,4.05
Rice,0.07,9.9,0.56,5.7,27.1,625,4.85
Cassava,0.07,7.2,0.42,5.6,26.8,580,16.2
Cassava,0.08,7.6,0.44,5.7,27,600,16.6
Cassava,0.06,6.9,0.4,5.5,26.5,560,15.8
Cassava,0.05,6.4,0.38,5.4,26.1,540,15.4
Cassava,0.07,7.4,0.43,5.6,26.9,590,16.4
Cassava,0.06,6.8,0.41,5.5,26.4,570,15.9
Cassava,0.09,8,0.46,5.8,27.3,620,17
Cassava,0.04,6,0.36,5.2,25.8,530,15.1
Cassava,0.05,6.6,0.39,5.4,26.3,560,15.7
Cassava,0.08,7.9,0.45,5.7,27.1,610,16.8
Plantain,0.08,8.2,0.5,5.7,27.1,590,13.5
Plantain,0.07,7.8,0.48,5.6,26.8,570,13.1
Plantain,0.06,7.1,0.45,5.5,26.4,550,12.7
Plantain,0.05,6.6,0.43,5.4,26,530,12.3
Plantain,0.07,8,0.49,5.6,27,585,13.2
Plantain,0.06,6.9,0.46,5.5,26.5,565,12.8
Plantain,0.09,8.7,0.53,5.8,27.3,610,13.7
Plantain,0.05,6.3,0.42,5.2,25.8,520,12.1
Plantain,0.06,6.8,0.44,5.3,26.2,540,12.5
Plantain,0.08,8.5,0.51,5.7,27.2,600,13.6
Cocoyam,0.08,8.1,0.5,5.6,26.8,610,6.8
Cocoyam,0.07,7.6,0.48,5.5,26.4,590,6.5
Cocoyam,0.06,6.9,0.45,5.4,26,570,6.1
Cocoyam,0.05,6.3,0.42,5.3,25.5,550,5.7
Cocoyam,0.07,7.8,0.49,5.6,26.9,605,6.7
Cocoyam,0.06,7,0.46,5.5,26.3,580,6.2
Cocoyam,0.09,8.5,0.52,5.7,27.1,630,7
Cocoyam,0.04,6,0.4,5.2,25,530,5.5
Cocoyam,0.05,6.5,0.43,5.3,25.7,545,5.9
Cocoyam,0.08,8.3,0.51,5.6,27,615,6.9
Yam,0.07,7.5,0.46,5.6,26.9,580,14.5
Yam,0.08,8,0.48,5.7,27.2,600,14.8
Yam,0.06,7,0.44,5.5,26.5,560,14.2
Yam,0.05,6.5,0.41,5.4,26,540,13.9
Yam,0.07,7.7,0.47,5.6,27.1,595,14.6
Yam,0.06,6.9,0.43,5.5,26.4,570,14.1
Yam,0.09,8.4,0.5,5.8,27.4,620,15
Yam,0.04,6.2,0.39,5.2,25.6,525,13.7
Yam,0.05,6.7,0.42,5.3,25.9,550,14
Yam,0.08,8.2,0.49,5.7,27.3,610,14.9
Tomato,0.08,10.5,0.55,5.7,27.3,520,5.9
Tomato,0.07,10,0.53,5.6,27,500,5.6
Tomato,0.06,9.2,0.5,5.5,26.5,480,5.3
Tomato,0.05,8.5,0.47,5.4,26,460,4.9
Tomato,0.07,10.2,0.54,5.6,27.2,510,5.7
Tomato,0.06,9,0.49,5.5,26.6,490,5.2
Tomato,0.09,11,0.57,5.8,27.5,540,6.1
Tomato,0.04,8,0.45,5.2,25.2,450,4.7
Tomato,0.05,8.7,0.48,5.3,25.6,470,5
Tomato,0.08,10.8,0.56,5.7,27.4,530,6
Pepper,0.08,9.6,0.52,5.7,27.2,510,3.8
Pepper,0.07,9.2,0.5,5.6,27,490,3.6
Pepper,0.06,8.4,0.47,5.5,26.5,470,3.3
Pepper,0.05,7.8,0.44,5.4,26,450,3
Pepper,0.07,9.4,0.51,5.6,27.1,505,3.7
Pepper,0.06,8.3,0.46,5.5,26.4,485,3.2
Pepper,0.09,10,0.54,5.8,27.3,530,4
Pepper,0.04,7.5,0.42,5.2,25,440,2.9
Pepper,0.05,8,0.45,5.3,25.7,460,3.1
Pepper,0.08,9.8,0.53,5.7,27.1,520,3.9
Maize,0.07,7.4,0.4,5.4,27.3,580,3.5
Maize,0.08,8,0.44,5.6,27.6,600,3.7
Maize,0.06,6.7,0.38,5.3,27,560,3.2
Maize,0.05,6.3,0.36,5.2,26.6,540,3
Maize,0.07,7.8,0.43,5.5,27.4,590,3.6
Maize,0.06,7,0.39,5.3,27.1,565,3.25
Maize,0.08,8.5,0.48,5.7,27.8,620,3.85
Maize,0.04,6,0.35,5.1,26.2,520,2.85
Maize,0.05,6.5,0.37,5.2,26.4,530,3.05
Maize,0.07,7.6,0.42,5.5,27.5,585,3.65
Rice,0.08,9,0.52,5.6,28,600,4.3
Rice,0.07,8.5,0.5,5.5,27.8,580,4.1
Rice,0.06,8,0.48,5.4,27.3,560,3.8
Rice,0.05,7.5,0.46,5.3,26.9,540,3.6
Rice,0.07,8.8,0.51,5.6,27.9,590,4.2
Rice,0.06,8.2,0.49,5.4,27.2,550,3.9
Rice,0.09,9.3,0.54,5.7,28.2,620,4.4
Rice,0.04,7.8,0.45,5.2,26.5,500,3.5
Rice,0.05,8.1,0.47,5.3,26.7,520,3.7
Rice,0.07,9.1,0.53,5.6,28.1,610,4.35
Cassava,0.06,6.8,0.42,5.5,27.2,560,15.5
Cassava,0.07,7.1,0.44,5.6,27.5,580,15.9
Cassava,0.05,6.2,0.39,5.4,26.6,540,15.2
Cassava,0.04,5.8,0.37,5.3,26.3,520,14.8
Cassava,0.07,7,0.43,5.5,27.3,570,15.7
Cassava,0.06,6.9,0.41,5.4,27,555,15.4
Cassava,0.08,7.5,0.46,5.7,27.8,600,16.1
Cassava,0.04,6,0.36,5.2,25.9,510,14.5
Cassava,0.05,6.4,0.38,5.3,26.4,530,15.1
Cassava,0.07,7.3,0.45,5.6,27.6,590,15.8
Plantain,0.07,8.1,0.49,5.6,27.8,590,13.2
Plantain,0.08,8.7,0.52,5.7,28,610,13.6
Plantain,0.06,7.3,0.46,5.5,27.1,570,12.8
Plantain,0.05,6.9,0.44,5.4,26.7,550,12.4
Plantain,0.07,7.9,0.48,5.6,27.5,595,13.3
Plantain,0.06,7,0.45,5.5,27.2,575,12.9
Plantain,0.08,8.9,0.53,5.7,28.2,620,13.8
Plantain,0.04,6.4,0.43,5.2,26.3,550,12.1
Plantain,0.05,6.8,0.45,5.4,26.9,560,12.5
Plantain,0.07,8.3,0.51,5.6,27.9,605,13.4
Cocoyam,0.06,6.8,0.42,5.5,27.2,570,6.1
Cocoyam,0.07,7.2,0.45,5.6,27.5,590,6.5
Cocoyam,0.05,6,0.4,5.4,26.7,550,5.9
Cocoyam,0.04,5.5,0.38,5.2,26.2,520,5.6
Cocoyam,0.06,6.9,0.43,5.5,27,580,6.3
Cocoyam,0.05,6.3,0.41,5.3,26.8,540,6
Cocoyam,0.07,7.4,0.46,5.7,27.8,600,6.7
Cocoyam,0.04,5.8,0.39,5.1,26,510,5.5
Cocoyam,0.05,6.5,0.4,5.3,26.5,530,5.8
Cocoyam,0.06,7,0.44,5.6,27.4,585,6.4
Yam,0.07,7.3,0.48,5.6,27.6,610,12.5
Yam,0.08,7.8,0.52,5.7,28,630,12.9
Yam,0.06,6.9,0.45,5.5,27.1,590,12.2
Yam,0.05,6.4,0.42,5.3,26.5,560,11.8
Yam,0.07,7.5,0.49,5.6,27.7,615,12.6
Yam,0.06,6.8,0.44,5.4,27,580,12.1
Yam,0.08,8,0.53,5.7,28.2,640,13
Yam,0.04,6.2,0.41,5.1,26,530,11.6
Yam,0.05,6.6,0.43,5.3,26.8,550,11.9
Yam,0.07,7.6,0.5,5.6,27.9,620,12.7
Tomato,0.08,9.2,0.53,5.7,28.3,620,10.8
Tomato,0.07,8.6,0.5,5.6,27.9,600,10.5
Tomato,0.06,7.8,0.47,5.4,27.3,580,10.2
Tomato,0.05,7.2,0.45,5.3,26.8,560,9.8
Tomato,0.07,8.5,0.49,5.6,27.7,610,10.6
Tomato,0.06,8,0.46,5.4,27.1,590,10.3
Tomato,0.09,9.4,0.55,5.8,28.5,640,11
Tomato,0.04,6.8,0.44,5.2,26.2,530,9.6
Tomato,0.05,7.4,0.46,5.3,26.9,550,9.9
Tomato,0.07,8.9,0.52,5.6,28,615,10.7
Pepper,0.07,8,0.47,5.5,27.5,590,5.5
Pepper,0.08,8.6,0.5,5.7,27.9,610,5.8
Pepper,0.06,7.2,0.45,5.4,27.1,570,5.2
Pepper,0.05,6.6,0.42,5.2,26.5,550,4.9
Pepper,0.07,8.3,0.48,5.6,27.6,600,5.6
Pepper,0.06,7.5,0.44,5.3,27,580,5.3
Pepper,0.09,8.9,0.51,5.8,28.2,630,6
Pepper,0.04,6.2,0.41,5.1,25.9,520,4.7
Pepper,0.05,6.8,0.43,5.3,26.6,540,5
Pepper,0.07,8.4,0.49,5.5,27.8,605,5.7
Maize,0.06,5.5,0.3,5.2,30.5,820,2.8
Maize,0.07,6,0.33,5.3,31,850,3
Maize,0.05,4.8,0.28,5.1,29.8,800,2.6
Maize,0.04,4.5,0.25,5,31.2,780,2.4
Maize,0.06,5.8,0.32,5.3,30.7,830,2.9
Maize,0.05,5,0.29,5.2,29.9,810,2.65
Maize,0.07,6.2,0.34,5.4,31.5,860,3.1
Maize,0.03,4.2,0.24,5,32,760,2.2
Maize,0.04,4.9,0.27,5.1,30,790,2.5
Maize,0.06,5.6,0.31,5.3,30.8,840,2.95
Rice,0.06,4.8,0.28,5.2,30.9,830,2.5
Rice,0.05,4.5,0.26,5.1,30.5,800,2.3
Rice,0.04,4.2,0.24,5,30,780,2.1
Rice,0.07,5.2,0.29,5.3,31.2,850,2.6
Rice,0.06,5,0.27,5.2,30.8,820,2.45
Rice,0.05,4.6,0.25,5.1,30.4,790,2.2
Rice,0.07,5.4,0.3,5.3,31.5,860,2.7
Rice,0.03,4,0.23,4.9,32.1,760,1.9
Rice,0.04,4.7,0.25,5.1,30.1,800,2.15
Rice,0.06,5.1,0.28,5.2,30.7,830,2.55
Cassava,0.05,4.5,0.25,5.1,30.4,800,13.5
Cassava,0.06,4.8,0.27,5.2,30.8,820,14
Cassava,0.04,4.2,0.23,5,30,780,13.2
Cassava,0.03,4,0.22,4.9,31.1,760,12.9
Cassava,0.05,4.9,0.28,5.2,30.6,810,13.8
Cassava,0.06,5.1,0.3,5.3,31,830,14.2
Cassava,0.07,5.5,0.32,5.4,31.3,850,14.6
Cassava,0.03,4.1,0.24,5,29.9,770,12.7
Cassava,0.04,4.4,0.26,5.1,30.2,790,13.1
Cassava,0.06,5.3,0.29,5.3,31.2,840,14.3
Plantain,0.05,4.8,0.26,5.2,30.2,810,11
Plantain,0.06,5.2,0.29,5.3,30.6,830,11.4
Plantain,0.04,4.3,0.24,5.1,29.8,790,10.8
Plantain,0.03,4,0.22,5,31,770,10.5
Plantain,0.05,5,0.27,5.2,30.5,820,11.2
Plantain,0.06,5.4,0.3,5.3,30.9,840,11.5
Plantain,0.07,5.8,0.33,5.4,31.2,860,11.8
Plantain,0.03,4.1,0.23,5,29.7,780,10.4
Plantain,0.04,4.6,0.25,5.1,30,800,10.9
Plantain,0.06,5.6,0.32,5.3,31.1,850,11.6
Cocoyam,0.05,5,0.28,5.2,30,820,5
Cocoyam,0.04,4.5,0.25,5.1,30.3,800,4.8
Cocoyam,0.03,4.2,0.23,5,30.7,780,4.6
Cocoyam,0.06,5.4,0.3,5.3,31,850,5.2
Cocoyam,0.05,4.8,0.27,5.2,30.6,830,5.1
Cocoyam,0.04,4.3,0.24,5.1,29.9,790,4.7
Cocoyam,0.06,5.6,0.32,5.3,31.2,860,5.3
Cocoyam,0.03,4,0.22,5,30.1,770,4.5
Cocoyam,0.04,4.6,0.26,5.1,30.4,800,4.9
Cocoyam,0.05,5.2,0.29,5.2,30.8,840,5.15
Yam,0.05,4.8,0.26,5.1,30.5,820,12
Yam,0.06,5,0.28,5.2,31,850,12.4
Yam,0.04,4.3,0.24,5,29.8,790,11.8
Yam,0.03,4,0.22,4.9,30.3,770,11.5
Yam,0.05,5.1,0.29,5.2,30.6,830,12.1
Yam,0.06,5.4,0.31,5.3,31.1,860,12.6
Yam,0.07,5.8,0.34,5.4,31.3,870,12.9
Yam,0.03,4.1,0.23,5,29.9,780,11.6
Yam,0.04,4.5,0.25,5.1,30.1,800,11.9
Yam,0.05,5.3,0.3,5.2,30.7,840,12.3
Tomato,0.06,5.5,0.29,5.3,31.5,770,9
Tomato,0.05,5,0.27,5.2,31.2,750,8.7
Tomato,0.04,4.5,0.25,5.1,30.8,740,8.4
Tomato,0.07,6,0.31,5.4,32,790,9.2
Tomato,0.06,5.2,0.28,5.2,31.3,760,8.9
Tomato,0.05,4.8,0.26,5.1,30.9,750,8.6
Tomato,0.07,6.2,0.33,5.4,32.3,800,9.3
Tomato,0.03,4.2,0.23,5,31,730,8.1
Tomato,0.04,4.9,0.26,5.1,30.6,740,8.5
Tomato,0.06,5.4,0.3,5.3,31.7,770,9.1
Pepper,0.05,4.8,0.26,5.2,31,750,5.5
Pepper,0.06,5,0.28,5.3,31.3,770,5.8
Pepper,0.04,4.4,0.24,5.1,30.6,740,5.2
Pepper,0.03,4.1,0.22,5,30.9,720,5
Pepper,0.05,5.1,0.29,5.2,31.2,760,5.6
Pepper,0.06,5.4,0.31,5.3,31.5,780,5.9
Pepper,0.07,5.7,0.34,5.4,31.8,800,6.1
Pepper,0.03,4,0.21,5,30.5,710,4.8
Pepper,0.04,4.6,0.25,5.1,30.8,730,5.3
Pepper,0.05,5.2,0.3,5.3,31.1,770,5.7
Maize,0.07,7.5,0.4,5.5,27.5,550,1.43
Maize,0.08,8.2,0.45,5.6,28,580,1.6
Maize,0.06,6.8,0.38,5.4,27,530,1.3
Maize,0.09,8.5,0.5,5.7,28.2,600,1.7
Maize,0.05,6.2,0.34,5.3,26.5,500,1.15
Maize,0.07,7,0.42,5.5,27.5,560,1.45
Maize,0.06,6.5,0.36,5.2,26.8,510,1.25
Maize,0.08,7.8,0.44,5.6,27.9,570,1.55
Maize,0.07,7.3,0.4,5.5,27.4,545,1.42
Maize,0.09,9,0.52,5.8,28.5,620,1.75
Maize,0.06,6,0.33,5.2,26.3,490,1.1
Maize,0.08,7.6,0.46,5.6,28.1,590,1.58
Maize,0.07,7.1,0.39,5.4,27,540,1.35
Maize,0.05,5.9,0.31,5.1,26,500,1
Maize,0.09,8.9,0.51,5.7,28.4,615,1.72
Maize,0.07,7.4,0.41,5.5,27.6,555,1.47
Maize,0.08,8,0.47,5.6,28,585,1.63
Maize,0.06,6.3,0.35,5.3,26.7,510,1.2
Maize,0.09,9.2,0.53,5.9,28.6,630,1.78
Maize,0.07,7.2,0.4,5.4,27.2,545,1.38
Rice,0.07,7.5,0.4,5.5,27.5,1050,1.26
Rice,0.08,8.1,0.44,5.6,28,1080,1.42
Rice,0.06,6.5,0.36,5.3,27,1020,1.1
Rice,0.09,8.6,0.5,5.7,28.3,1100,1.55
Rice,0.05,6,0.32,5.2,26.5,1000,0.95
Rice,0.07,7,0.39,5.4,27.4,1040,1.22
Rice,0.08,7.8,0.45,5.6,27.9,1070,1.38
Rice,0.06,6.3,0.34,5.3,26.8,1010,1.08
Rice,0.09,9.1,0.52,5.8,28.5,1120,1.6
Rice,0.07,7.2,0.4,5.5,27.2,1030,1.24
Rice,0.08,8.3,0.46,5.7,28.2,1090,1.46
Rice,0.06,6.1,0.33,5.2,26.7,1005,1.05
Rice,0.05,5.8,0.31,5.1,26.3,1000,0.9
Rice,0.09,9.3,0.53,5.9,28.7,1130,1.63
Rice,0.07,7.1,0.38,5.4,27.3,1025,1.2
Rice,0.08,8,0.43,5.6,28.1,1085,1.4
Rice,0.06,6.6,0.35,5.3,26.9,1015,1.12
Rice,0.09,8.8,0.51,5.8,28.4,1110,1.58
Rice,0.07,7.3,0.4,5.5,27.1,1035,1.25
Rice,0.08,8.2,0.47,5.6,28,1105,1.44
Cassava,0.08,8.2,0.42,5.6,27.8,1080,9.5
Cassava,0.09,8.5,0.48,5.7,28,1120,9.9
Cassava,0.07,7.6,0.41,5.5,27.2,1060,9.3
Cassava,0.06,7.2,0.39,5.4,26.9,1040,9.1
Cassava,0.08,8,0.45,5.6,27.6,1090,9.6
Cassava,0.07,7.4,0.4,5.5,27,1050,9.2
Cassava,0.09,8.8,0.5,5.8,28.3,1130,9.95
Cassava,0.05,6.8,0.36,5.3,26.5,1000,8.8
Cassava,0.06,7,0.38,5.4,26.7,1020,9
Cassava,0.08,8.1,0.46,5.6,27.5,1100,9.7
Cassava,0.07,7.3,0.42,5.5,27.1,1070,9.4
Cassava,0.06,6.9,0.37,5.4,26.6,1010,8.95
Cassava,0.09,9,0.52,5.9,28.5,1150,10
Cassava,0.07,7.1,0.4,5.5,27.3,1050,9.3
Cassava,0.08,8.3,0.47,5.7,27.9,1110,9.85
Cassava,0.05,6.5,0.34,5.2,26.2,1005,8.7
Cassava,0.06,7.2,0.39,5.4,26.8,1030,9.15
Cassava,0.08,8,0.44,5.6,27.7,1095,9.65
Cassava,0.09,9.1,0.51,5.8,28.2,1140,9.98
Cassava,0.07,7.5,0.41,5.5,27.4,1065,9.35
Plantain,0.08,7.8,0.45,5.6,27.9,1080,7.4
Plantain,0.09,8.4,0.49,5.7,28.1,1120,7.6
Plantain,0.07,7.3,0.42,5.5,27.3,1050,7.2
Plantain,0.06,6.9,0.4,5.4,26.8,1020,6.95
Plantain,0.08,7.6,0.44,5.6,27.5,1090,7.45
Plantain,0.07,7.2,0.41,5.5,27,1040,7.1
Plantain,0.09,8.7,0.5,5.8,28.4,1130,7.75
Plantain,0.05,6.5,0.36,5.2,26.2,1000,6.7
Plantain,0.06,6.8,0.38,5.3,26.6,1010,6.85
Plantain,0.08,7.9,0.46,5.6,27.7,1100,7.55
Plantain,0.07,7.1,0.4,5.5,27.1,1030,7.15
Plantain,0.06,6.6,0.37,5.3,26.5,1005,6.8
Plantain,0.09,9,0.51,5.9,28.6,1150,7.8
Plantain,0.07,7.4,0.43,5.5,27.2,1060,7.3
Plantain,0.08,8.2,0.47,5.7,27.8,1110,7.65
Plantain,0.05,6.4,0.34,5.2,26,1000,6.6
Plantain,0.06,7,0.39,5.4,26.9,1020,7
Plantain,0.08,7.7,0.45,5.6,27.6,1095,7.5
Plantain,0.09,9.1,0.52,5.8,28.5,1145,7.85
Plantain,0.07,7.5,0.42,5.5,27.3,1070,7.25
Cocoyam,0.08,7.7,0.43,5.6,27.8,1080,5.8
Cocoyam,0.09,8.2,0.47,5.7,28.1,1120,6.1
Cocoyam,0.07,7.2,0.41,5.5,27.2,1040,5.6
Cocoyam,0.06,6.8,0.39,5.4,26.8,1020,5.4
Cocoyam,0.08,7.5,0.44,5.6,27.5,1090,5.9
Cocoyam,0.07,7,0.4,5.5,27,1050,5.65
Cocoyam,0.09,8.6,0.49,5.8,28.3,1130,6.2
Cocoyam,0.05,6.4,0.35,5.2,26.3,1000,5.1
Cocoyam,0.06,6.6,0.37,5.3,26.6,1010,5.3
Cocoyam,0.08,7.8,0.45,5.6,27.7,1100,6
Cocoyam,0.07,6.9,0.42,5.5,27.1,1060,5.7
Cocoyam,0.06,6.5,0.36,5.3,26.5,1020,5.25
Cocoyam,0.09,9,0.5,5.8,28.5,1140,6.3
Cocoyam,0.07,7.3,0.43,5.5,27.3,1070,5.75
Cocoyam,0.08,8,0.46,5.7,27.9,1110,6.15
Cocoyam,0.05,6.2,0.34,5.2,26.1,1000,5
Cocoyam,0.06,6.9,0.38,5.4,26.9,1030,5.55
Cocoyam,0.08,7.6,0.44,5.6,27.6,1095,5.95
Cocoyam,0.09,9.1,0.52,5.8,28.6,1150,6.35
Cocoyam,0.07,7.1,0.41,5.5,27.4,1065,5.65
Yam,0.08,7.9,0.46,5.6,27.8,1080,6.4
Yam,0.09,8.3,0.49,5.7,28,1100,6.6
Yam,0.07,7.1,0.42,5.5,27.3,1040,6.2
Yam,0.06,6.7,0.39,5.4,26.8,1020,5.95
Yam,0.08,7.6,0.45,5.6,27.6,1070,6.5
Yam,0.07,7,0.41,5.5,27,1030,6.15
Yam,0.09,8.8,0.5,5.8,28.3,1120,6.75
Yam,0.05,6.3,0.36,5.2,26.2,1000,5.8
Yam,0.06,6.5,0.38,5.3,26.5,1010,5.9
Yam,0.08,7.7,0.47,5.6,27.7,1090,6.55
Yam,0.07,7.2,0.43,5.5,27.1,1050,6.25
Yam,0.06,6.6,0.37,5.3,26.6,1010,5.85
Yam,0.09,9,0.52,5.9,28.5,1140,6.8
Yam,0.07,7.4,0.44,5.5,27.3,1070,6.3
Yam,0.08,8.1,0.48,5.7,27.9,1100,6.7
Yam,0.05,6.1,0.34,5.2,26,1000,5.7
Yam,0.06,6.8,0.39,5.4,26.9,1020,6
Yam,0.08,7.5,0.45,5.6,27.5,1080,6.45
Yam,0.09,9.2,0.53,5.8,28.6,1150,6.85
Yam,0.07,7.3,0.42,5.5,27.4,1060,6.2
Tomato,0.08,8,0.48,5.6,27.9,900,10.1
Tomato,0.09,8.5,0.51,5.7,28.1,920,10.3
Tomato,0.07,7.4,0.44,5.5,27.3,880,9.9
Tomato,0.06,7,0.41,5.4,26.8,860,9.6
Tomato,0.08,7.8,0.47,5.6,27.6,890,10.2
Tomato,0.07,7.2,0.43,5.5,27.1,870,9.8
Tomato,0.09,9,0.52,5.8,28.3,930,10.5
Tomato,0.05,6.5,0.38,5.2,26.2,850,9.3
Tomato,0.06,6.8,0.4,5.3,26.6,860,9.5
Tomato,0.08,8.1,0.49,5.6,27.7,910,10.25
Tomato,0.07,7.3,0.45,5.5,27.2,880,9.95
Tomato,0.06,6.7,0.39,5.3,26.5,860,9.6
Tomato,0.09,9.3,0.53,5.9,28.5,940,10.6
Tomato,0.07,7.5,0.46,5.5,27.4,890,10
Tomato,0.08,8.3,0.5,5.7,27.8,920,10.4
Tomato,0.05,6.3,0.36,5.2,26.1,850,9.2
Tomato,0.06,6.9,0.42,5.4,26.9,870,9.7
Tomato,0.08,7.9,0.48,5.6,27.6,900,10.15
Tomato,0.09,9.1,0.54,5.8,28.6,950,10.65
Tomato,0.07,7.6,0.44,5.5,27.5,890,9.85
Pepper,0.08,8.1,0.5,5.6,27.9,1150,14.8
Pepper,0.09,8.6,0.54,5.7,28,1180,15.2
Pepper,0.07,7.5,0.46,5.5,27.3,1120,14.5
Pepper,0.06,7.1,0.43,5.4,26.8,1090,14.2
Pepper,0.08,7.9,0.49,5.6,27.6,1140,15
Pepper,0.07,7.3,0.45,5.5,27,1110,14.6
Pepper,0.09,9.1,0.55,5.8,28.3,1190,15.4
Pepper,0.05,6.6,0.4,5.2,26.3,1050,13.8
Pepper,0.06,6.9,0.42,5.3,26.6,1070,14.1
Pepper,0.08,8.2,0.51,5.6,27.7,1160,15.1
Pepper,0.07,7.4,0.47,5.5,27.1,1130,14.7
Pepper,0.06,6.8,0.41,5.3,26.5,1060,13.9
Pepper,0.09,9.4,0.56,5.9,28.5,1200,15.5
Pepper,0.07,7.6,0.48,5.5,27.4,1140,14.9
Pepper,0.08,8.4,0.53,5.7,27.8,1170,15.3
Pepper,0.05,6.4,0.38,5.2,26.1,1040,13.7
Pepper,0.06,7,0.44,5.4,26.9,1080,14.3
Pepper,0.08,8,0.5,5.6,27.6,1150,15.05
Pepper,0.09,9.3,0.57,5.8,28.6,1210,15.6
Pepper,0.07,7.7,0.46,5.5,27.5,1130,14.6
Cocoyam,0.07,7.2,0.42,5.5,27.3,1050,5.8
Cocoyam,0.08,7.8,0.46,5.6,27.6,1080,6.1
Cocoyam,0.06,6.7,0.4,5.4,26.9,1030,5.6
Cocoyam,0.05,6.3,0.36,5.3,26.5,1000,5.4
Cocoyam,0.07,7.4,0.43,5.5,27.4,1060,5.9
Cocoyam,0.06,6.9,0.39,5.4,27,1040,5.65
Cocoyam,0.08,8.5,0.48,5.7,28.2,1100,6.2
Cocoyam,0.04,6,0.34,5.2,26.1,1000,5.1
Cocoyam,0.05,6.5,0.36,5.3,26.4,1010,5.3
Cocoyam,0.07,7.6,0.44,5.6,27.5,1070,6
Cocoyam,0.06,6.8,0.41,5.4,26.8,1030,5.7
Cocoyam,0.05,6.2,0.35,5.3,26.3,1000,5.25
Cocoyam,0.08,8.8,0.5,5.8,28.3,1120,6.3
Cocoyam,0.06,7.1,0.42,5.4,27.1,1050,5.75
Cocoyam,0.07,7.9,0.45,5.6,27.7,1090,6.15
Cocoyam,0.04,5.9,0.33,5.1,25.9,1000,5
Cocoyam,0.05,6.6,0.37,5.3,26.6,1020,5.55
Cocoyam,0.07,7.7,0.44,5.5,27.3,1080,5.95
Cocoyam,0.08,9,0.51,5.8,28.4,1130,6.35
Cocoyam,0.06,7.2,0.4,5.4,27.2,1060,5.65
Yam,0.07,7.5,0.44,5.5,27.5,1070,6.4
Yam,0.08,8.2,0.47,5.6,27.9,1100,6.6
Yam,0.06,6.9,0.41,5.4,26.7,1030,6.2
Yam,0.05,6.4,0.38,5.3,26.3,1000,5.95
Yam,0.07,7.6,0.45,5.5,27.6,1080,6.5
Yam,0.06,6.8,0.4,5.4,26.8,1020,6.15
Yam,0.08,8.7,0.49,5.7,28.1,1110,6.75
Yam,0.04,6,0.35,5.2,26,1000,5.8
Yam,0.05,6.3,0.37,5.2,26.2,1010,5.9
Yam,0.07,7.8,0.46,5.5,27.7,1090,6.55
Yam,0.06,7,0.42,5.4,27,1040,6.25
Yam,0.05,6.6,0.39,5.3,26.5,1010,5.85
Yam,0.08,8.9,0.51,5.8,28.4,1130,6.8
Yam,0.06,7.2,0.43,5.4,27.2,1050,6.3
Yam,0.07,8,0.47,5.6,27.8,1100,6.7
