Region,Month,Crop,Demand,Recommendation,
Eastern Region,January,Maize,Low,Reduce planting, focus on storage
Eastern Region,January,Tomato,Low,Reduce planting, focus on storage
Eastern Region,January,Rice,Low,Reduce planting, focus on storage
Eastern Region,January,Plantain,High,Plant more for higher sales,
Eastern Region,January,Yam,Low,Reduce planting, focus on storage
Eastern Region,January,Cocoyam,Low,Reduce planting, focus on storage
Eastern Region,January,Pepper,Low,Reduce planting, focus on storage
Eastern Region,January,Cassava,High,Plant more for higher sales,
Eastern Region,February,Maize,Low,Reduce planting, focus on storage
Eastern Region,February,Tomato,Low,Reduce planting, focus on storage
Eastern Region,February,Rice,Low,Reduce planting, focus on storage
Eastern Region,February,Plantain,High,Plant more for higher sales,
Eastern Region,February,Yam,Low,Reduce planting, focus on storage
Eastern Region,February,Cocoyam,Low,Reduce planting, focus on storage
Eastern Region,February,Pepper,Low,Reduce planting,focus on storage
Eastern Region,February,Cassava,High,Plant more for higher sales,
Eastern Region,March,Maize,High,Plant more for higher sales,
Eastern Region,March,Tomato,High,Plant more for higher sales,
Eastern Region,March,Rice,High,Plant more for higher sales,
Eastern Region,March,Plantain,High,Plant more for higher sales,
Eastern Region,March,Yam,High,Plant more for higher sales,
Eastern Region,March,Cocoyam,High,Plant more for higher sales,
Eastern Region,March,Pepper,High,Plant more for higher sales,
Eastern Region,March,Cassava,High,Plant more for higher sales,
Eastern Region,April,Maize,High,Plant more for higher sales,
Eastern Region,April,Tomato,High,Plant more for higher sales,
Eastern Region,April,Rice,High,Plant more for higher sales,
Eastern Region,April,Plantain,High,Plant more for higher sales,
Eastern Region,April,Yam,High,Plant more for higher sales,
Eastern Region,April,Cocoyam,High,Plant more for higher sales,
Eastern Region,April,Pepper,High,Plant more for higher sales,
Eastern Region,April,Cassava,High,Plant more for higher sales,
Eastern Region,May,Maize,High,Plant more for higher sales,
Eastern Region,May,Tomato,High,Plant more for higher sales,
Eastern Region,May,Rice,High,Plant more for higher sales,
Eastern Region,May,Plantain,High,Plant more for higher sales,
Eastern Region,May,Yam,High,Plant more for higher sales,
Eastern Region,May,Cocoyam,High,Plant more for higher sales,
Eastern Region,May,Pepper,High,Plant more for higher sales,
Eastern Region,May,Cassava,High,Plant more for higher sales,
Eastern Region,June,Maize,Low,Reduce planting, focus on storage
Eastern Region,June,Tomato,Low,Reduce planting, focus on storage
Eastern Region,June,Rice,High,Plant more for higher sales,
Eastern Region,June,Plantain,High,Plant more for higher sales,
Eastern Region,June,Yam,Low,Reduce planting, focus on storage
Eastern Region,June,Cocoyam,Low,Reduce planting, focus on storage
Eastern Region,June,Pepper,Low,Reduce planting, focus on storage
Eastern Region,June,Cassava,High,Plant more for higher sales,
Eastern Region,July,Maize,Low,Reduce planting, focus on storage
Eastern Region,July,Tomato,Low,Reduce planting, focus on storage
Eastern Region,July,Rice,High,Plant more for higher sales,
Eastern Region,July,Plantain,High,Plant more for higher sales,
Eastern Region,July,Yam,Low,Reduce planting, focus on storage
Eastern Region,July,Cocoyam,Low,Reduce planting, focus on storage
Eastern Region,July,Pepper,Low,Reduce planting, focus on storage
Eastern Region,July,Cassava,High,Plant more for higher sales,
Eastern Region,August,Maize,Low,Reduce planting, focus on storage
Eastern Region,August,Tomato,Low,Reduce planting, focus on storage
Eastern Region,August,Rice,High,Plant more for higher sales,
Eastern Region,August,Plantain,High,Plant more for higher sales,
Eastern Region,August,Yam,Low,Reduce planting, focus on storage
Eastern Region,August,Cocoyam,Low,Reduce planting, focus on storage
Eastern Region,August,Pepper,Low,Reduce planting, focus on storage
Eastern Region,August,Cassava,High,Plant more for higher sales,
Eastern Region,September,Maize,Low,Reduce planting, focus on storage
Eastern Region,September,Tomato,Low,Reduce planting, focus on storage
Eastern Region,September,Rice,Low,Reduce planting, focus on storage
Eastern Region,September,Plantain,High,Plant more for higher sales,
Eastern Region,September,Yam,Low,Reduce planting, focus on storage
Eastern Region,September,Cocoyam,Low,Reduce planting, focus on storage
Eastern Region,September,Pepper,Low,Reduce planting, focus on storage
Eastern Region,September,Cassava,High,Plant more for higher sales,
Eastern Region,October,Maize,Low,Reduce planting, focus on storage
Eastern Region,October,Tomato,Low,Reduce planting, focus on storage
Eastern Region,October,Rice,Low,Reduce planting, focus on storage
Eastern Region,October,Plantain,High,Plant more for higher sales,
Eastern Region,October,Yam,Low,Reduce planting, focus on storage
Eastern Region,October,Cocoyam,Low,Reduce planting, focus on storage
Eastern Region,October,Pepper,Low,Reduce planting,focus on storage
Eastern Region,October,Cassava,High,Plant more for higher sales,
Eastern Region,November,Maize,Low,Reduce planting, focus on storage
Eastern Region,November,Tomato,Low,Reduce planting, focus on storage
Eastern Region,November,Rice,Low,Reduce planting, focus on storage
Eastern Region,November,Plantain,High,Plant more for higher sales,
Eastern Region,November,Yam,Low,Reduce planting, focus on storage
Eastern Region,November,Cocoyam,Low,Reduce planting, focus on storage
Eastern Region,November,Pepper,Low,Reduce planting, focus on storage
Eastern Region,November,Cassava,High,Plant more for higher sales,
Eastern Region,December,Maize,Low,Reduce planting, focus on storage
Eastern Region,December,Tomato,Low,Reduce planting, focus on storage
Eastern Region,December,Rice,Low,Reduce planting, focus on storage
Eastern Region,December,Plantain,High,Plant more for higher sales,
Eastern Region,December,Yam,Low,Reduce planting, focus on storage
Eastern Region,December,Cocoyam,Low,Reduce planting, focus on storage
Eastern Region,December,Pepper,Low,Reduce planting, focus on storage
Eastern Region,December,Cassava,High,Plant more for higher sales,
Greater Accra Region,January,Maize,Low,Reduce planting, focus on storage
Greater Accra Region,January,Tomato,Low,Reduce planting, focus on storage
Greater Accra Region,January,Rice,Low,Reduce planting, focus on storage
Greater Accra Region,January,Plantain,High,Plant more for higher sales,
Greater Accra Region,January,Yam,Low,Reduce planting, focus on storage
Greater Accra Region,January,Cocoyam,Low,Reduce planting, focus on storage
Greater Accra Region,January,Pepper,Low,Reduce planting, focus on storage
Greater Accra Region,January,Cassava,High,Plant more for higher sales,
Greater Accra Region,February,Maize,Low,Reduce planting, focus on storage
Greater Accra Region,February,Tomato,Low,Reduce planting, focus on storage
Greater Accra Region,February,Rice,Low,Reduce planting, focus on storage
Greater Accra Region,February,Plantain,High,Plant more for higher sales,
Greater Accra Region,February,Yam,Low,Reduce planting, focus on storage
Greater Accra Region,February,Cocoyam,Low,Reduce planting, focus on storage
Greater Accra Region,February,Pepper,Low,Reduce planting, focus on storage
Greater Accra Region,February,Cassava,High,Plant more for higher sales,
Greater Accra Region,March,Maize,High,Plant more for higher sales,
Greater Accra Region,March,Tomato,High,Plant more for higher sales,
Greater Accra Region,March,Rice,High,Plant more for higher sales,
Greater Accra Region,March,Plantain,High,Plant more for higher sales,
Greater Accra Region,March,Yam,High,Plant more for higher sales,
Greater Accra Region,March,Cocoyam,High,Plant more for higher sales,
Greater Accra Region,March,Pepper,High,Plant more for higher sales,
Greater Accra Region,March,Cassava,High,Plant more for higher sales,
Greater Accra Region,April,Maize,High,Plant more for higher sales,
Greater Accra Region,April,Tomato,High,Plant more for higher sales,
Greater Accra Region,April,Rice,High,Plant more for higher sales,
Greater Accra Region,April,Plantain,High,Plant more for higher sales,
Greater Accra Region,April,Yam,High,Plant more for higher sales,
Greater Accra Region,April,Cocoyam,High,Plant more for higher sales,
Greater Accra Region,April,Pepper,High,Plant more for higher sales,
Greater Accra Region,April,Cassava,High,Plant more for higher sales,
Greater Accra Region,May,Maize,High,Plant more for higher sales,
Greater Accra Region,May,Tomato,High,Plant more for higher sales,
Greater Accra Region,May,Rice,High,Plant more for higher sales,
Greater Accra Region,May,Plantain,High,Plant more for higher sales,
Greater Accra Region,May,Yam,High,Plant more for higher sales,
Greater Accra Region,May,Cocoyam,High,Plant more for higher sales,
Greater Accra Region,May,Pepper,High,Plant more for higher sales,
Greater Accra Region,May,Cassava,High,Plant more for higher sales,
Greater Accra Region,June,Maize,Low,Reduce planting, focus on storage
Greater Accra Region,June,Tomato,Low,Reduce planting, focus on storage
Greater Accra Region,June,Rice,High,Plant more for higher sales,
Greater Accra Region,June,Plantain,High,Plant more for higher sales,
Greater Accra Region,June,Yam,High,Plant more for higher sales,
Greater Accra Region,June,Cocoyam,High,Plant more for higher sales,
Greater Accra Region,June,Pepper,Low,Reduce planting, focus on storage
Greater Accra Region,June,Cassava,High,Plant more for higher sales,
Greater Accra Region,July,Maize,Low,Reduce planting, focus on storage
Greater Accra Region,July,Tomato,Low,Reduce planting, focus on storage
Greater Accra Region,July,Rice,High,Plant more for higher sales,
Greater Accra Region,July,Plantain,High,Plant more for higher sales,
Greater Accra Region,July,Yam,High,Plant more for higher sales,
Greater Accra Region,July,Cocoyam,High,Plant more for higher sales,
Greater Accra Region,July,Pepper,Low,Reduce planting, focus on storage
Greater Accra Region,July,Cassava,High,Plant more for higher sales,
Greater Accra Region,August,Maize,Low,Reduce planting, focus on storage
Greater Accra Region,August,Tomato,Low,Reduce planting,focus on storage
Greater Accra Region,August,Rice,High,Plant more for higher sales,
Greater Accra Region,August,Plantain,High,Plant more for higher sales,
Greater Accra Region,August,Yam,High,Plant more for higher sales,
Greater Accra Region,August,Cocoyam,High,Plant more for higher sales,
Greater Accra Region,August,Pepper,Low,Reduce planting, focus on storage
Greater Accra Region,August,Cassava,High,Plant more for higher sales,
Greater Accra Region,September,Maize,Low,Reduce planting, focus on storage
Greater Accra Region,September,Tomato,Low,Reduce planting, focus on storage
Greater Accra Region,September,Rice,Low,Reduce planting, focus on storage
Greater Accra Region,September,Plantain,High,Plant more for higher sales,
Greater Accra Region,September,Yam,Low,Reduce planting, focus on storage
Greater Accra Region,September,Cocoyam,Low,Reduce planting, focus on storage
Greater Accra Region,September,Pepper,Low,Reduce planting, focus on storage
Greater Accra Region,September,Cassava,High,Plant more for higher sales,
Greater Accra Region,October,Maize,Low,Reduce planting, focus on storage
Greater Accra Region,October,Tomato,Low,Reduce planting, focus on storage
Greater Accra Region,October,Rice,Low,Reduce planting, focus on storage
Greater Accra Region,October,Plantain,High,Plant more for higher sales,
Greater Accra Region,October,Yam,Low,Reduce planting, focus on storage
Greater Accra Region,October,Cocoyam,Low,Reduce planting, focus on storage
Greater Accra Region,October,Pepper,Low,Reduce planting, focus on storage
Greater Accra Region,October,Cassava,High,Plant more for higher sales,
Greater Accra Region,November,Maize,Low,Reduce planting, focus on storage
Greater Accra Region,November,Tomato,Low,Reduce planting, focus on storage
Greater Accra Region,November,Rice,Low,Reduce planting, focus on storage
Greater Accra Region,November,Plantain,High,Plant more for higher sales,
Greater Accra Region,November,Yam,Low,Reduce planting, focus on storage
Greater Accra Region,November,Cocoyam,Low,Reduce planting, focus on storage
Greater Accra Region,November,Pepper,Low,Reduce planting, focus on storage
Greater Accra Region,November,Cassava,High,Plant more for higher sales,
Greater Accra Region,December,Maize,Low,Reduce planting, focus on storage
Greater Accra Region,December,Tomato,Low,Reduce planting, focus on storage
Greater Accra Region,December,Rice,Low,Reduce planting, focus on storage
Greater Accra Region,December,Plantain,High,Plant more for higher sales,
Greater Accra Region,December,Yam,Low,Reduce planting, focus on storage
Greater Accra Region,December,Cocoyam,Low,Reduce planting, focus on storage
Greater Accra Region,December,Pepper,Low,Reduce planting, focus on storage
Greater Accra Region,December,Cassava,High,Plant more for higher sales,
Northern Region,January,Maize,High,Plant more for higher sales,
Northern Region,January,Tomato,High,Plant more for higher sales,
Northern Region,January,Rice,High,Plant more for higher sales,
Northern Region,January,Plantain,High,Plant more for higher sales,
Northern Region,January,Yam,High,Plant more for higher sales,
Northern Region,January,Cocoyam,High,Plant more for higher sales,
Northern Region,January,Pepper,High,Plant more for higher sales,
Northern Region,January,Cassava,High,Plant more for higher sales,
Northern Region,February,Maize,High,Plant more for higher sales,
Northern Region,February,Tomato,High,Plant more for higher sales,
Northern Region,February,Rice,High,Plant more for higher sales,
Northern Region,February,Plantain,High,Plant more for higher sales,
Northern Region,February,Yam,High,Plant more for higher sales,
Northern Region,February,Cocoyam,High,Plant more for higher sales,
Northern Region,February,Pepper,High,Plant more for higher sales,
Northern Region,February,Cassava,High,Plant more for higher sales,
Northern Region,March,Maize,High,Plant more for higher sales,
Northern Region,March,Tomato,High,Plant more for higher sales,
Northern Region,March,Rice,High,Plant more for higher sales,
Northern Region,March,Plantain,High,Plant more for higher sales,
Northern Region,March,Yam,High,Plantmore for higher sales,
Northern Region,March,Cocoyam,High,Plant more for higher sales,
Northern Region,March,Pepper,High,Plant more for higher sales,
Northern Region,March,Cassava,High,Plant more for higher sales,
Northern Region,April,Maize,High,Plant more for higher sales,
Northern Region,April,Tomato,High,Plant more for higher sales,
Northern Region,April,Rice,High,Plant more for higher sales,
Northern Region,April,Plantain,High,Plant more for higher sales,
Northern Region,April,Yam,High,Plant more for higher sales,
Northern Region,April,Cocoyam,High,Plant more for higher sales,
Northern Region,April,Pepper,High,Plant more for higher sales,
Northern Region,April,Cassava,High,Plant more for higher sales,
Northern Region,May,Maize,High,Plant more for higher sales,
Northern Region,May,Tomato,High,Plant more for higher sales,
Northern Region,May,Rice,High,Plant more for higher sales,
Northern Region,May,Plantain,High,Plant more for higher sales,
Northern Region,May,Yam,HighPlant more for higher sales,,
Northern Region,May,Cocoyam,High,Plant more for higher sales,
Northern Region,May,Pepper,High,Plant more for higher sales,
Northern Region,May,Cassava,High,Plant more for higher sales,
Northern Region,June,Maize,High,Plant more for higher sales,
Northern Region,June,Tomato,High,Plant more for higher sales,
Northern Region,June,Rice,High,Plant more for higher sales,
Northern Region,June,Plantain,High,Plant more for higher sales,
Northern Region,June,Yam,High,Plant more for higher sales,
Northern Region,June,Cocoyam,High,Plant more for higher sales,
Northern Region,June,Pepper,High,Plant more for higher sales,
Northern Region,June,Cassava,High,Plant more for higher sales,
Northern Region,July,Maize,High,Plant more for higher sales,
Northern Region,July,Tomato,High,Plant more for higher sales,
Northern Region,July,Rice,High,Plant more for higher sales,
Northern Region,July,Plantain,High,Plant more for higher sales,
Northern Region,July,Yam,High,Plant more for higher sales,
Northern Region,July,Cocoyam,High,Plant more for higher sales,
Northern Region,July,Pepper,High,Plant more for higher sales,
Northern Region,July,Cassava,High,Plant more for higher sales,
Northern Region,August,Maize,High,Plant more for higher sales,
Northern Region,August,Tomato,Low,Reduce planting, focus on storage
Northern Region,August,Rice,High,Plant more for higher sales,
Northern Region,August,Plantain,High,Plant more for higher sales,
Northern Region,August,Yam,High,Plant more for higher sales,
Northern Region,August,Cocoyam,High,Plant more for higher sales,
Northern Region,August,Pepper,High,Plant more for higher sales,
Northern Region,August,Cassava,High,Plant more for higher sales,
Northern Region,September,Maize,Low,Reduce planting, focus on storage
Northern Region,September,Tomato,Low,Reduce planting, focus on storage
Northern Region,September,Rice,Low,Reduce planting, focus on storage
Northern Region,September,Plantain,High,Plant more for higher sales,
Northern Region,September,Yam,High,Plant more for higher sales,
Northern Region,September,Cocoyam,High,Plant more for higher sales,
Northern Region,September,Pepper,Low,Reduce planting, focus on storage
Northern Region,September,Cassava,High,Plant more for higher sales,
Northern Region,October,Maize,Low,Reduce planting, focus on storage
Northern Region,October,Tomato,High,Plant more for higher sales,
Northern Region,October,Rice,Low,Reduce planting, focus on storage
Northern Region,October,Plantain,High,Plant more for higher sales,
Northern Region,October,Yam,Low,Reduce planting, focus on storage
Northern Region,October,Cocoyam,Low,Reduce planting, focus on storage
Northern Region,October,Pepper,Low,Reduce planting, focus on storage
Northern Region,October,Cassava,High,Plant more for higher sales,
Northern Region,November,Maize,High,Plant more for higher sales,
Northern Region,November,Tomato,High,Plant more for higher sales,
Northern Region,November,Rice,High,Plant more for higher sales,
Northern Region,November,Plantain,High,Plant more for higher sales,
Northern Region,November,Yam,Low,Reduce planting,focus on storage
Northern Region,November,Cocoyam,Low,Reduce planting, focus on storage
Northern Region,November,Pepper,High,Plant more for higher sales,
Northern Region,November,Cassava,High,Plant more for higher sales,
Northern Region,December,Maize,High,Plant more for higher sales,
Northern Region,December,Tomato,High,Plant more for higher sales,
Northern Region,December,Rice,High,Plant more for higher sales,
Northern Region,December,Plantain,High,Plant more for higher sales,
Northern Region,December,Yam,High,Plant more for higher sales,
Northern Region,December,Cocoyam,High,Plant more for higher sales,
Northern Region,December,Pepper,High,Plant more for higher sales,
Northern Region,December,Cassava,High,Plant more for higher sales,
Upper East Region,January,Maize,High,Plant more for higher sales,
Upper East Region,January,Tomato,High,Plant more for higher sales,
Upper East Region,January,Rice,High,Plant more for higher sales,
Upper East Region,January,Plantain,High,Plant more for higher sales,
Upper East Region,January,Yam,High,Plant more for higher sales,
Upper East Region,January,Cocoyam,High,Plant more for higher sales,
Upper East Region,January,Pepper,High,Plant more for higher sales,
Upper East Region,January,Cassava,High,Plant more for higher sales,
Upper East Region,February,Maize,High,Plant more for higher sales,
Upper East Region,February,Tomato,High,Plant more for higher sales,
Upper East Region,February,Rice,High,Plant more for higher sales,
Upper East Region,February,Plantain,High,Plant more for higher sales,
Upper East Region,February,Yam,High,Plant more for higher sales,
Upper East Region,February,Cocoyam,High,Plant more for higher sales,
Upper East Region,February,Pepper,High,Plant more for higher sales,
Upper East Region,February,Cassava,High,Plant more for higher sales,
Upper East Region,March,Maize,High,Plant more for higher sales,
Upper East Region,March,Tomato,High,Plant more for higher sales,
Upper East Region,March,Rice,High,Plant more for higher sales,
Upper East Region,March,Plantain,High,Plant more for higher sales,
Upper East Region,March,Yam,High,Plant more for higher sales,
Upper East Region,March,Cocoyam,High,Plant more for higher sales,
Upper East Region,March,Pepper,High,Plant more for higher sales,
Upper East Region,March,Cassava,High,Plant more for higher sales,
Upper East Region,April,Maize,High,Plant more for higher sales,
Upper East Region,April,Tomato,High,Plant more for higher sales,
Upper East Region,April,Rice,High,Plant more for higher sales,
Upper East Region,April,Plantain,High,Plant more for higher sales,
Upper East Region,April,Yam,High,Plant more for higher sales,
Upper East Region,April,Cocoyam,High,Plant more for higher sales,
Upper East Region,April,Pepper,High,Plant more for higher sales,
Upper East Region,April,Cassava,High,Plant more for higher sales,
Upper East Region,May,Maize,High,Plant more for higher sales,
Upper East Region,May,Tomato,High,Plant more for higher sales,
Upper East Region,May,Rice,High,Plant more for higher sales,
Upper East Region,May,Plantain,High,Plant more for higher sales,
Upper East Region,May,Yam,High,Plant more for higher sales,
Upper East Region,May,Cocoyam,High,Plant more for higher sales,
Upper East Region,May,Pepper,High,Plant more for higher sales,
Upper East Region,May,Cassava,High,Plant more for higher sales,
Upper East Region,June,Maize,High,Plant more for higher sales,
Upper East Region,June,Tomato,High,Plant more for higher sales,
Upper East Region,June,Rice,High,Plant more for higher sales,
Upper East Region,June,Plantain,High,Plant more for higher sales,
Upper East Region,June,Yam,High,Plant more for higher sales,
Upper East Region,June,Cocoyam,High,Plant more for higher sales,
Upper East Region,June,Pepper,High,Plant more for higher sales,
Upper East Region,June,Cassava,High,Plant more for higher sales,
Upper East Region,July,Maize,High,Plant more for higher sales,
Upper East Region,July,Tomato,Low,Reduce planting, focus on storage
Upper East Region,July,Rice,High,Plant more for higher sales,
Upper East Region,July,Plantain,High,Plant more for higher sales,
Upper East Region,July,Yam,High,Plant more for higher sales,
Upper East Region,July,Cocoyam,High,Plant more for higher sales,
Upper East Region,July,Pepper,High,Plant more for higher sales,
Upper East Region,July,Cassava,High,Plant more for higher sales,
Upper East Region,August,Maize,Low,Reduce planting, focus on storage
Upper East Region,August,Tomato,Low,Reduce planting, focus on storage
Upper East Region,August,Rice,Low,Reduce planting, focus on storage
Upper East Region,August,Plantain,High,Plant more for higher sales,
Upper East Region,August,Yam,Low,Reduce planting, focus on storage
Upper East Region,August,Cocoyam,Low,Reduce planting, focus on storage
Upper East Region,August,Pepper,Low,Reduce planting,focus on storage
Upper East Region,August,Cassava,High,Plant more for higher sales,
Upper East Region,September,Maize,Low,Reduce planting, focus on storage
Upper East Region,September,Tomato,Low,Reduce planting, focus on storage
Upper East Region,September,Rice,Low,Reduce planting, focus on storage
Upper East Region,September,Plantain,High,Plant more for higher sales,
Upper East Region,September,Yam,Low,Reduce planting, focus on storage
Upper East Region,September,Cocoyam,Low,Reduce planting, focus on storage
Upper East Region,September,Pepper,Low,Reduce planting, focus on storage
Upper East Region,September,Cassava,High,Plant more for higher sales,
Upper East Region,October,Maize,Low,Reduce planting, focus on storage
Upper East Region,October,Tomato,High,Plant more for higher sales,
Upper East Region,October,Rice,Low,Reduce planting, focus on storage
Upper East Region,October,Plantain,High,Plant more for higher sales,
Upper East Region,October,Yam,Low,Reduce planting, focus on storage
Upper East Region,October,Cocoyam,Low,Reduce planting, focus on storage
Upper East Region,October,Pepper,Low,Reduce planting, focus on storage
Upper East Region,October,Cassava,High,Plant more for higher sales,
Upper East Region,November,Maize,High,Plant more for higher sales,
Upper East Region,November,Tomato,High,Plant more for higher sales,
Upper East Region,November,Rice,High,Plant more for higher sales,
Upper East Region,November,Plantain,High,Plant more for higher sales,
Upper East Region,November,Yam,Low,Reduce planting, focus on storage
Upper East Region,November,Cocoyam,Low,Reduce planting, focus on storage
Upper East Region,November,Pepper,High,Plant more for higher sales,
Upper East Region,November,Cassava,High,Plant more for higher sales,
Upper East Region,December,Maize,High,Plant more for higher sales,
Upper East Region,December,Tomato,High,Plant more for higher sales,
Upper East Region,December,Rice,High,Plant more for higher sales,
Upper East Region,December,Plantain,High,Plant more for higher sales,
Upper East Region,December,Yam,High,Plant more for higher sales,
Upper East Region,December,Cocoyam,High,Plant more for higher sales,
Upper East Region,December,Pepper,High,Plant more for higher sales,
Upper East Region,December,Cassava,High,Plant more for higher sales,
Upper West Region,January,Maize,High,Plant more for higher sales,
Upper West Region,January,Tomato,High,Plant more for higher sales,
Upper West Region,January,Rice,High,Plant more for higher sales,
Upper West Region,January,Plantain,High,Plant more for higher sales,
Upper West Region,January,Yam,High,Plant more for higher sales,
Upper West Region,January,Cocoyam,High,Plant more for higher sales,
Upper West Region,January,Pepper,High,Plant more for higher sales,
Upper West Region,January,Cassava,High,Plant more for higher sales,
Upper West Region,February,Maize,High,Plant more for higher sales,
Upper West Region,February,Tomato,High,Plant more for higher sales,
Upper West Region,February,Rice,High,Plant more for higher sales,
Upper West Region,February,Plantain,High,Plant more for higher sales,
Upper West Region,February,Yam,High,Plant more for higher sales,
Upper West Region,February,Cocoyam,High,Plant more for higher sales,
Upper West Region,February,Pepper,High,Plant more for higher sales,
Upper West Region,February,Cassava,High,Plant more for higher sales,
Upper West Region,March,Maize,High,Plant more for higher sales,
Upper West Region,March,Tomato,High,Plant more for higher sales,
Upper West Region,March,Rice,High,Plant more for higher sales,
Upper West Region,March,Plantain,High,Plant more for higher sales,
Upper West Region,March,Yam,High,Plant more for higher sales,
Upper West Region,March,Cocoyam,High,Plant more for higher sales,
Upper West Region,March,Pepper,High,Plant more for higher sales,
Upper West Region,March,Cassava,High,Plant more for higher sales,
Upper West Region,April,Maize,High,Plant more for higher sales,
Upper West Region,April,Tomato,High,Plant more for higher sales,
Upper West Region,April,Rice,High,Plant more for higher sales,
Upper West Region,April,Plantain,High,Plant more for higher sales,
Upper West Region,April,Yam,High,Plant more for higher sales,
Upper West Region,April,Cocoyam,High,Plant more for higher sales,
Upper West Region,April,Pepper,High,Plant more for higher sales,
Upper West Region,April,Cassava,High,Plant more for higher sales,
Upper West Region,May,Maize,High,Plant more for higher sales,
Upper West Region,May,Tomato,High,Plant more for higher sales,
Upper West Region,May,Rice,High,Plant more for higher sales,
Upper West Region,May,Plantain,High,Plant more for higher sales,
Upper West Region,May,Yam,High,Plant more for higher sales,
Upper West Region,May,Cocoyam,High,Plant more for higher sales,
Upper West Region,May,Pepper,High,Plant more for higher sales,
Upper West Region,May,Cassava,High,Plant more for higher sales,
Upper West Region,June,Maize,High,Plant more for higher sales,
Upper West Region,June,Tomato,High,Plant more for higher sales,
Upper West Region,June,Rice,High,Plant more for higher sales,
Upper West Region,June,Plantain,High,Plant more for higher sales,
Upper West Region,June,Yam,High,Plant more for higher sales,
Upper West Region,June,Cocoyam,High,Plant more for higher sales,
Upper West Region,June,Pepper,High,Plant more for higher sales,
Upper West Region,June,Cassava,High,Plant more for higher sales,
Upper West Region,July,Maize,High,Plant more for higher sales,
Upper West Region,July,Tomato,Low,Reduce planting, focus on storage
Upper West Region,July,Rice,High,Plant more for higher sales,
Upper West Region,July,Plantain,High,Plant more for higher sales,
Upper West Region,July,Yam,High,Plant more for higher sales,
Upper West Region,July,Cocoyam,High,Plant more for higher sales,
Upper West Region,July,Pepper,High,Plant more for higher sales,
Upper West Region,July,Cassava,High,Plant more for higher sales,
Upper West Region,August,Maize,Low,Reduce planting, focus on storage
Upper West Region,August,Tomato,Low,Reduce planting, focus on storage
Upper West Region,August,Rice,Low,Reduce planting, focus on storage
Upper West Region,August,Plantain,High,Plant more for higher sales,
Upper West Region,August,Yam,Low,Reduce planting, focus on storage
Upper West Region,August,Cocoyam,Low,Reduce planting, focus on storage
Upper West Region,August,Pepper,Low,Reduce planting, focus on storage
Upper West Region,August,Cassava,High,Plant more for higher sales,
Upper West Region,September,Maize,Low,Reduce planting, focus on storage
Upper West Region,September,Tomato,Low,Reduce planting, focus on storage
Upper West Region,September,Rice,Low,Reduce planting, focus on storage
Upper West Region,September,Plantain,High,Plant more for higher sales,
Upper West Region,September,Yam,Low,Reduce planting, focus on storage
Upper West Region,September,Cocoyam,Low,Reduce planting, focus on storage
Upper West Region,September,Pepper,Low,Reduce planting, focus on storage
Upper West Region,September,Cassava,High,Plant more for higher sales,
Upper West Region,October,Maize,Low,Reduce planting, focus on storage
Upper West Region,October,Tomato,High,Plant more for higher sales,
Upper West Region,October,Rice,Low,Reduce planting, focus on storage
Upper West Region,October,Plantain,High,Plant more for higher sales,
Upper West Region,October,Yam,Low,Reduce planting, focus on storage
Upper West Region,October,Cocoyam,Low,Reduce planting, focus on storage
Upper West Region,October,Pepper,Low,Reduce planting, focus on storage
Upper West Region,October,Cassava,High,Plant more for higher sales,
Upper West Region,November,Maize,High,Plant more for higher sales,
Upper West Region,November,Tomato,High,Plant more for higher sales,
Upper West Region,November,Rice,High,Plant more for higher sales,
Upper West Region,November,Plantain,High,Plant more for higher sales,
Upper West Region,November,Yam,Low,Reduce planting, focus on storage
Upper West Region,November,Cocoyam,Low,Reduce planting,focus on storage
Upper West Region,November,Pepper,High,Plant more for higher sales,
Upper West Region,November,Cassava,High,Plant more for higher sales,
Upper West Region,December,Maize,High,Plant more for higher sales,
Upper West Region,December,Tomato,High,Plant more for higher sales,
Upper West Region,December,Rice,High,Plant more for higher sales,
Upper West Region,December,Plantain,High,Plant more for higher sales,
Upper West Region,December,Yam,High,Plant more for higher sales,
Upper West Region,December,Cocoyam,High,Plant more for higher sales,
Upper West Region,December,Pepper,High,Plant more for higher sales,
Upper West Region,December,Cassava,High,Plant more for higher sales,
Volta Region,January,Maize,Low,Reduce planting, focus on storage
Volta Region,January,Tomato,Low,Reduce planting, focus on storage
Volta Region,January,Rice,Low,Reduce planting, focus on storage
Volta Region,January,Plantain,High,Plant more for higher sales,
Volta Region,January,Yam,Low,Reduce planting, focus on storage
Volta Region,January,Cocoyam,Low,Reduce planting, focus on storage
Volta Region,January,Pepper,Low,Reduce planting, focus on storage
Volta Region,January,Cassava,High,Plant more for higher sales,
Volta Region,February,Maize,Low,Reduce planting, focus on storage
Volta Region,February,Tomato,Low,Reduce planting, focus on storage
Volta Region,February,Rice,Low,Reduce planting, focus on storage
Volta Region,February,Plantain,High,Plant more for higher sales,
Volta Region,February,Yam,Low,Reduce planting, focus on storage
Volta Region,February,Cocoyam,Low,Reduce planting, focus on storage
Volta Region,February,Pepper,Low,Reduce planting, focus on storage
Volta Region,February,Cassava,High,Plant more for higher sales,
Volta Region,March,Maize,High,Plant more for higher sales,
Volta Region,March,Tomato,High,Plant more for higher sales,
Volta Region,March,Rice,High,Plant more for higher sales,
